task,implant_type,model_type,architecture,accuracy
doorway,12_20,pointy,vit_base_patch16_224.mae,1.0
doorway,12_20,pointy,vit_base_patch16_clip_224.openai,1.0
doorway,12_20,pointy,vit_base_patch8_224.dino,1.0
doorway,12_20,pointy,vit_small_patch16_224.dino,1.0
doorway,12_20,streaky,convnext_nano.in12k,0.9965277777777778
doorway,12_20,streaky,convnext_nano.in12k_ft_in1k,0.9965277777777778
doorway,12_20,streaky,convnext_small.in12k,0.9930555555555556
doorway,12_20,streaky,convnext_tiny.in12k,1.0
doorway,12_20,streaky,convnext_tiny.in12k_ft_in1k,0.9861111111111112
doorway,12_20,streaky,convnextv2_tiny.fcmae,0.9409722222222222
doorway,12_20,streaky,efficientnet_b0.ra_in1k,0.9809027777777777
doorway,12_20,streaky,efficientnet_b3.ra2_in1k,0.9965277777777778
doorway,12_20,streaky,mobilenetv2_100.ra_in1k,0.9861111111111112
doorway,12_20,streaky,regnety_040.ra3_in1k,0.9930555555555556
doorway,12_20,streaky,regnety_064.ra3_in1k,1.0
doorway,12_20,streaky,regnety_080.ra3_in1k,0.9913194444444444
doorway,12_20,streaky,resnet101.a1h_in1k,0.9930555555555556
doorway,12_20,streaky,resnet18.a1_in1k,0.9826388888888888
doorway,12_20,streaky,resnet18d.ra2_in1k,1.0
doorway,12_20,streaky,resnet50.a1_in1k,0.96875
doorway,12_20,streaky,resnet50.a1h_in1k,0.9756944444444444
doorway,12_20,streaky,resnet50d.a1_in1k,0.9895833333333334
doorway,12_20,streaky,vgg11_bn.tv_in1k,1.0
doorway,12_20,streaky,vgg13_bn.tv_in1k,1.0
doorway,12_20,streaky,vgg16_bn.tv_in1k,1.0
doorway,12_20,streaky,vgg19_bn.tv_in1k,0.9930555555555556
doorway,12_20,streaky,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,12_20,streaky,vit_base_patch16_224.dino,1.0
doorway,12_20,streaky,vit_base_patch16_224.mae,1.0
doorway,12_20,streaky,vit_base_patch16_clip_224.openai,1.0
doorway,12_20,streaky,vit_base_patch8_224.dino,1.0
doorway,12_20,streaky,vit_small_patch16_224.dino,1.0
doorway,6_10,pointy,convnext_nano.in12k,0.8559027777777777
doorway,6_10,pointy,convnext_nano.in12k_ft_in1k,0.8611111111111112
doorway,6_10,pointy,convnext_small.in12k,0.9166666666666666
doorway,6_10,pointy,convnext_tiny.in12k,0.8958333333333334
doorway,6_10,pointy,convnext_tiny.in12k_ft_in1k,0.8940972222222223
doorway,6_10,pointy,convnextv2_tiny.fcmae,0.9131944444444444
doorway,6_10,pointy,efficientnet_b0.ra_in1k,0.8732638888888888
doorway,6_10,pointy,efficientnet_b3.ra2_in1k,0.8802083333333333
doorway,6_10,pointy,mobilenetv2_100.ra_in1k,0.9010416666666667
doorway,6_10,pointy,regnety_040.ra3_in1k,0.9600694444444444
doorway,6_10,pointy,regnety_064.ra3_in1k,0.9635416666666667
doorway,6_10,pointy,regnety_080.ra3_in1k,0.96875
doorway,6_10,pointy,resnet101.a1h_in1k,0.8784722222222222
doorway,6_10,pointy,resnet18.a1_in1k,0.9114583333333333
doorway,6_10,pointy,resnet18d.ra2_in1k,0.9236111111111112
doorway,6_10,pointy,resnet50.a1_in1k,0.9131944444444444
doorway,6_10,pointy,resnet50.a1h_in1k,0.9340277777777778
doorway,6_10,pointy,resnet50d.a1_in1k,0.9027777777777778
doorway,6_10,pointy,vgg11_bn.tv_in1k,0.9305555555555556
doorway,6_10,pointy,vgg13_bn.tv_in1k,0.9253472222222223
doorway,6_10,pointy,vgg16_bn.tv_in1k,0.9461805555555556
doorway,6_10,pointy,vgg19_bn.tv_in1k,0.9392361111111112
doorway,6_10,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,6_10,pointy,vit_base_patch16_224.dino,1.0
doorway,6_10,pointy,vit_base_patch16_224.mae,1.0
doorway,6_10,pointy,vit_base_patch16_clip_224.openai,1.0
doorway,6_10,pointy,vit_base_patch8_224.dino,1.0
doorway,6_10,pointy,vit_small_patch16_224.dino,1.0
doorway,6_10,streaky,convnext_nano.in12k,0.9930555555555556
doorway,6_10,streaky,convnext_nano.in12k_ft_in1k,0.9861111111111112
doorway,6_10,streaky,convnext_small.in12k,0.9930555555555556
doorway,6_10,streaky,convnext_tiny.in12k,0.9652777777777778
doorway,6_10,streaky,convnext_tiny.in12k_ft_in1k,0.9635416666666667
doorway,6_10,streaky,convnextv2_tiny.fcmae,0.921875
doorway,6_10,streaky,efficientnet_b0.ra_in1k,0.9583333333333334
doorway,6_10,streaky,efficientnet_b3.ra2_in1k,0.9826388888888888
doorway,6_10,streaky,mobilenetv2_100.ra_in1k,0.9756944444444444
doorway,6_10,streaky,regnety_040.ra3_in1k,0.9791666666666666
doorway,6_10,streaky,regnety_064.ra3_in1k,1.0
doorway,6_10,streaky,regnety_080.ra3_in1k,0.9895833333333334
doorway,6_10,streaky,resnet101.a1h_in1k,0.9479166666666666
doorway,6_10,streaky,resnet18.a1_in1k,0.9618055555555556
doorway,6_10,streaky,resnet18d.ra2_in1k,0.9722222222222222
doorway,6_10,streaky,resnet50.a1_in1k,0.9791666666666666
doorway,6_10,streaky,resnet50.a1h_in1k,0.9965277777777778
doorway,6_10,streaky,resnet50d.a1_in1k,0.96875
doorway,6_10,streaky,vgg11_bn.tv_in1k,0.9809027777777777
doorway,6_10,streaky,vgg13_bn.tv_in1k,0.9895833333333334
doorway,6_10,streaky,vgg16_bn.tv_in1k,0.9965277777777778
doorway,6_10,streaky,vgg19_bn.tv_in1k,0.9895833333333334
doorway,6_10,streaky,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,6_10,streaky,vit_base_patch16_224.dino,1.0
doorway,6_10,streaky,vit_base_patch16_224.mae,1.0
doorway,6_10,streaky,vit_base_patch16_clip_224.openai,1.0
doorway,6_10,streaky,vit_base_patch8_224.dino,1.0
doorway,6_10,streaky,vit_small_patch16_224.dino,1.0
doorway,6_15,pointy,convnext_nano.in12k,0.8958333333333334
doorway,6_15,pointy,convnext_nano.in12k_ft_in1k,0.8958333333333334
doorway,6_15,pointy,convnext_small.in12k,0.9652777777777778
doorway,6_15,pointy,convnext_tiny.in12k,0.9131944444444444
doorway,6_15,pointy,convnext_tiny.in12k_ft_in1k,0.9253472222222223
doorway,6_15,pointy,convnextv2_tiny.fcmae,0.8732638888888888
doorway,6_15,pointy,efficientnet_b0.ra_in1k,0.8055555555555556
doorway,6_15,pointy,efficientnet_b3.ra2_in1k,0.9149305555555556
doorway,6_15,pointy,mobilenetv2_100.ra_in1k,0.9166666666666666
doorway,6_15,pointy,regnety_040.ra3_in1k,0.9583333333333334
doorway,6_15,pointy,regnety_064.ra3_in1k,0.9513888888888888
doorway,6_15,pointy,regnety_080.ra3_in1k,0.9583333333333334
doorway,6_15,pointy,resnet101.a1h_in1k,0.8854166666666666
doorway,6_15,pointy,resnet18.a1_in1k,0.8836805555555556
doorway,6_15,pointy,resnet18d.ra2_in1k,0.8993055555555556
doorway,6_15,pointy,resnet50.a1_in1k,0.9409722222222222
doorway,6_15,pointy,resnet50.a1h_in1k,0.9548611111111112
doorway,6_15,pointy,resnet50d.a1_in1k,0.9548611111111112
doorway,6_15,pointy,vgg11_bn.tv_in1k,0.9583333333333334
doorway,6_15,pointy,vgg13_bn.tv_in1k,0.9652777777777778
doorway,6_15,pointy,vgg16_bn.tv_in1k,0.9548611111111112
doorway,6_15,pointy,vgg19_bn.tv_in1k,0.984375
doorway,6_15,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,6_15,pointy,vit_base_patch16_224.dino,1.0
doorway,6_15,pointy,vit_base_patch16_224.mae,1.0
doorway,6_15,pointy,vit_base_patch16_clip_224.openai,1.0
doorway,6_15,pointy,vit_base_patch8_224.dino,1.0
doorway,6_15,pointy,vit_small_patch16_224.dino,1.0
doorway,6_15,streaky,convnext_nano.in12k,0.9861111111111112
doorway,6_15,streaky,convnext_nano.in12k_ft_in1k,0.9826388888888888
doorway,6_15,streaky,convnext_small.in12k,0.9930555555555556
doorway,6_15,streaky,convnext_tiny.in12k,0.9965277777777778
doorway,6_15,streaky,convnext_tiny.in12k_ft_in1k,0.9930555555555556
doorway,6_15,streaky,convnextv2_tiny.fcmae,0.9548611111111112
doorway,6_15,streaky,efficientnet_b0.ra_in1k,0.9618055555555556
doorway,6_15,streaky,efficientnet_b3.ra2_in1k,0.9895833333333334
doorway,6_15,streaky,mobilenetv2_100.ra_in1k,0.9930555555555556
doorway,6_15,streaky,regnety_040.ra3_in1k,1.0
doorway,6_15,streaky,regnety_064.ra3_in1k,0.9982638888888888
doorway,6_15,streaky,regnety_080.ra3_in1k,0.9930555555555556
doorway,6_15,streaky,resnet101.a1h_in1k,0.9618055555555556
doorway,6_15,streaky,resnet18.a1_in1k,0.9618055555555556
doorway,6_15,streaky,resnet18d.ra2_in1k,0.9895833333333334
doorway,6_15,streaky,resnet50.a1_in1k,0.9878472222222223
doorway,6_15,streaky,resnet50.a1h_in1k,0.9965277777777778
doorway,6_15,streaky,resnet50d.a1_in1k,0.9722222222222222
doorway,6_15,streaky,vgg11_bn.tv_in1k,0.9913194444444444
doorway,6_15,streaky,vgg13_bn.tv_in1k,0.9965277777777778
doorway,6_15,streaky,vgg16_bn.tv_in1k,0.9930555555555556
doorway,6_15,streaky,vgg19_bn.tv_in1k,1.0
doorway,6_15,streaky,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,6_15,streaky,vit_base_patch16_224.dino,1.0
doorway,6_15,streaky,vit_base_patch16_224.mae,1.0
doorway,6_15,streaky,vit_base_patch16_clip_224.openai,1.0
doorway,6_15,streaky,vit_base_patch8_224.dino,1.0
doorway,6_15,streaky,vit_small_patch16_224.dino,1.0
doorway,6_20,pointy,convnext_nano.in12k,0.8715277777777778
doorway,6_20,pointy,convnext_nano.in12k_ft_in1k,0.9201388888888888
doorway,6_20,pointy,convnext_small.in12k,0.9861111111111112
doorway,6_20,pointy,convnext_tiny.in12k,0.8611111111111112
doorway,6_20,pointy,convnext_tiny.in12k_ft_in1k,0.8680555555555556
doorway,6_20,pointy,convnextv2_tiny.fcmae,0.9427083333333333
doorway,6_20,pointy,efficientnet_b0.ra_in1k,0.8524305555555556
doorway,6_20,pointy,efficientnet_b3.ra2_in1k,0.9548611111111112
doorway,6_20,pointy,mobilenetv2_100.ra_in1k,0.9375
doorway,6_20,pointy,regnety_040.ra3_in1k,0.9895833333333334
doorway,6_20,pointy,regnety_064.ra3_in1k,0.9861111111111112
doorway,6_20,pointy,regnety_080.ra3_in1k,0.9722222222222222
doorway,6_20,pointy,resnet101.a1h_in1k,0.9704861111111112
doorway,6_20,pointy,resnet18.a1_in1k,0.90625
doorway,6_20,pointy,resnet18d.ra2_in1k,0.9739583333333333
doorway,6_20,pointy,resnet50.a1_in1k,0.9565972222222223
doorway,6_20,pointy,resnet50.a1h_in1k,0.9600694444444444
doorway,6_20,pointy,resnet50d.a1_in1k,0.90625
doorway,6_20,pointy,vgg11_bn.tv_in1k,0.9565972222222223
doorway,6_20,pointy,vgg13_bn.tv_in1k,0.9756944444444444
doorway,6_20,pointy,vgg16_bn.tv_in1k,0.9826388888888888
doorway,6_20,pointy,vgg19_bn.tv_in1k,0.9965277777777778
doorway,6_20,pointy,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
doorway,6_20,pointy,vit_base_patch16_224.dino,1.0
doorway,6_20,pointy,vit_base_patch16_224.mae,1.0
doorway,6_20,pointy,vit_base_patch16_clip_224.openai,1.0
doorway,6_20,pointy,vit_base_patch8_224.dino,1.0
doorway,6_20,pointy,vit_small_patch16_224.dino,1.0
doorway,6_20,streaky,convnext_nano.in12k,0.9739583333333333
doorway,6_20,streaky,convnext_nano.in12k_ft_in1k,0.9652777777777778
doorway,6_20,streaky,convnext_small.in12k,0.9930555555555556
doorway,6_20,streaky,convnext_tiny.in12k,1.0
doorway,6_20,streaky,convnext_tiny.in12k_ft_in1k,0.9930555555555556
doorway,6_20,streaky,convnextv2_tiny.fcmae,0.9583333333333333
doorway,6_20,streaky,efficientnet_b0.ra_in1k,1.0
doorway,6_20,streaky,efficientnet_b3.ra2_in1k,0.9722222222222222
doorway,6_20,streaky,mobilenetv2_100.ra_in1k,0.9895833333333334
doorway,6_20,streaky,regnety_040.ra3_in1k,0.9965277777777778
doorway,6_20,streaky,regnety_064.ra3_in1k,0.9965277777777778
doorway,6_20,streaky,regnety_080.ra3_in1k,0.9895833333333334
doorway,6_20,streaky,resnet101.a1h_in1k,0.9791666666666666
doorway,6_20,streaky,resnet18.a1_in1k,0.96875
doorway,6_20,streaky,resnet18d.ra2_in1k,0.9965277777777778
doorway,6_20,streaky,resnet50.a1_in1k,0.9895833333333334
doorway,6_20,streaky,resnet50.a1h_in1k,0.9826388888888888
doorway,6_20,streaky,resnet50d.a1_in1k,0.9704861111111112
doorway,6_20,streaky,vgg11_bn.tv_in1k,0.9965277777777778
doorway,6_20,streaky,vgg13_bn.tv_in1k,0.9965277777777778
doorway,6_20,streaky,vgg16_bn.tv_in1k,0.9895833333333334
doorway,6_20,streaky,vgg19_bn.tv_in1k,1.0
doorway,6_20,streaky,vit_base_patch16_224.augreg2_in21k_ft_in1k,1.0
