percept_filename,guess,target,implant_type,model_type,subject,result,task,architecture,architecture_family,run
35017.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
39805.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
34321.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
38869.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
40129.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
39037.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
39997.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
10297.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
39841.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
2569.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
39397.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
2041.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
34501.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
3049.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
10861.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
38845.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
38557.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
3001.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
2113.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
35809.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
10657.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
28441.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
19237.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
18325.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
27505.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
11329.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
3109.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
40681.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
1717.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
17449.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
12925.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
35437.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
11149.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
40729.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
11809.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
17329.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
36613.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
11365.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
2377.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
17041.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
36133.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
28885.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
11677.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
29797.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
16933.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
12457.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
18709.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
34753.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
28309.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
33397.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
493.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
39265.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
26977.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
39325.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
1669.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
1237.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
18865.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
12325.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
11545.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
18061.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
19597.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
28993.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
1045.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
13273.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
27337.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
36217.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
11413.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
12481.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
17401.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
41461.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
18973.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
913.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
19045.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
28405.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
35041.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
28573.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
19021.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
34345.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
2437.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
12085.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
33469.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
17605.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
28621.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
11725.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
1741.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
12133.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
12901.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
18373.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
17869.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
40153.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
29737.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
2245.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
11437.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
17665.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
11497.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
2917.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
39781.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
2593.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
33577.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
19069.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
17641.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
19945.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
33373.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
27205.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
1957.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
34165.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
36061.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
35065.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
36301.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
18733.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
39589.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
997.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
1645.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
40633.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
40945.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
2173.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
28045.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
34801.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
17929.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
2761.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
12061.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
27997.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
34297.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
11521.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
673.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
28333.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
19813.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
34633.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
16861.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
11197.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
18613.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
2869.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
1981.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
33925.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
38929.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
11017.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
1933.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
29173.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
39637.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
469.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
3337.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
11389.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
18397.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
19417.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
11461.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
973.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
33445.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
33421.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
18169.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
1693.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
709.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
34129.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
36349.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
17173.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
40333.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
28513.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
29713.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
28273.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
17845.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
12349.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
18301.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
39373.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
10633.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
35329.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
39913.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
41269.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
40501.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
11701.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
27733.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
2977.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
28177.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
41509.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
19153.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
28069.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
29821.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
3073.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
18349.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
39481.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
16993.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
35569.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
10081.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
18637.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
11893.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
34261.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
19549.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
35257.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
28861.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
18661.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
12721.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
39109.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
35917.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
35629.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
17533.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
18109.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
1129.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
38797.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
18889.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
17305.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
34969.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
121.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
27397.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
12301.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
28381.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
1825.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
28141.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
10585.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
40021.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
34993.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
39301.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
39973.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
11941.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
10429.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
11629.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
11653.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
12985.tif,square,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
28093.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
11173.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
27049.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
1405.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
40045.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
28357.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
40177.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
19333.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
41665.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
17197.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
27709.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
34369.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
33973.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
10477.tif,circle,triangle,6_10,streaky,ABa,False,shape,human,human,ABa
1429.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
40069.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
337.tif,triangle,circle,6_10,streaky,ABa,False,shape,human,human,ABa
19789.tif,triangle,triangle,6_10,streaky,ABa,True,shape,human,human,ABa
39349.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
29929.tif,circle,square,6_10,streaky,ABa,False,shape,human,human,ABa
253.tif,square,circle,6_10,streaky,ABa,False,shape,human,human,ABa
29329.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
36085.tif,square,square,6_10,streaky,ABa,True,shape,human,human,ABa
27289.tif,triangle,square,6_10,streaky,ABa,False,shape,human,human,ABa
40897.tif,circle,circle,6_10,streaky,ABa,True,shape,human,human,ABa
10975.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
547.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
2311.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
29287.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
35395.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
39247.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
2143.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
11047.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
34915.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
35503.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
11443.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
10759.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
26851.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
27007.tif,triangle,square,6_10,pointy,ABa,False,shape,human,human,ABa
18307.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
28315.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
235.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
1135.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
35443.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
27979.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
17803.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
10939.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
17131.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
17431.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
17671.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
19843.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
28387.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
523.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
11815.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
1699.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
40075.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
40291.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
1387.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
1615.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
18331.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
1339.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
35971.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
40399.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
35263.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
28207.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
34375.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
40183.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
18943.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
39739.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
41227.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
18379.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
36139.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
40471.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
18091.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
38407.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
19639.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
28651.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
19999.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
40639.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
1267.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
40267.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
19375.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
11023.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
18571.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
40003.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
35947.tif,triangle,square,6_10,pointy,ABa,False,shape,human,human,ABa
39979.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
10639.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
451.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
38935.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
39811.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
28999.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
17647.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
11419.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
18355.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
12355.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
12115.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
19579.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
11107.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
55.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
27271.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
33847.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
34531.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
12667.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
40927.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
12463.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
391.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
19003.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
35287.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
39667.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
12967.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
979.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
3115.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
35023.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
40735.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
41071.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
38695.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
11635.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
18403.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
18043.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
33667.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
17515.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
33691.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
12331.tif,square,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
36571.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
2359.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
2539.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
39223.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
35767.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
1915.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
40663.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
18871.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
631.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
34939.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
38563.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
39487.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
34003.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
27379.tif,triangle,square,6_10,pointy,ABa,False,shape,human,human,ABa
39715.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
2071.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
2443.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
34759.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
811.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
28711.tif,triangle,square,6_10,pointy,ABa,False,shape,human,human,ABa
27823.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
1723.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
28339.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
29311.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
11467.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
11731.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
38959.tif,triangle,circle,6_10,pointy,ABa,False,shape,human,human,ABa
33955.tif,square,square,6_10,pointy,ABa,True,shape,human,human,ABa
10999.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
35047.tif,circle,square,6_10,pointy,ABa,False,shape,human,human,ABa
1411.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
11971.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
19507.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
38719.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
38479.tif,square,circle,6_10,pointy,ABa,False,shape,human,human,ABa
10063.tif,circle,triangle,6_10,pointy,ABa,False,shape,human,human,ABa
1111.tif,circle,circle,6_10,pointy,ABa,True,shape,human,human,ABa
11683.tif,triangle,triangle,6_10,pointy,ABa,True,shape,human,human,ABa
